RestaurantID,Res_identify,CountryCode,City,Cuisines,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Price_range,Votes,Average_Cost_for_two,Rating
6317637,Le 6317637,162,Makati City,"French, Japanese, Desserts",Yes,No,No,No,3,314,1100,4.8
6304287,Iza6304287,162,Makati City,Japanese,Yes,No,No,No,3,591,1200,4.5
6300002,Hea6300002,162,Mandaluyong City,"Seafood, Asian, Filipino, Indian",Yes,No,No,No,4,270,4000,4.4
6318506,Oom6318506,162,Mandaluyong City,"Japanese, Sushi",No,No,No,No,4,365,1500,4.9
6314302,Sam6314302,162,Mandaluyong City,"Japanese, Korean",Yes,No,No,No,4,229,1500,4.8
18189371,Din18189371,162,Mandaluyong City,Chinese,No,No,No,No,3,336,1000,4.4
6300781,Buf6300781,162,Pasay City,"Asian, European",Yes,No,No,No,4,520,2000,4
6301290,Vik6301290,162,Pasay City,"Seafood, Filipino, Asian, European",Yes,No,No,No,4,677,2000,4.2
6300010,Spi6300010,162,Pasay City,"European, Asian, Indian",Yes,No,No,No,4,621,6000,4.9
6314987,Loc6314987,162,Pasig City,Filipino,Yes,No,No,No,3,532,1100,4.8
6309903,Sil6309903,162,Pasig City,"Filipino, Mexican",No,No,No,No,3,1070,800,4.9
6309455,Mad6309455,162,Pasig City,"American, Ice Cream, Desserts",Yes,No,No,No,3,488,900,4.2
6318433,Sil6318433,162,Quezon City,"Filipino, Mexican",No,No,No,No,3,294,800,4.8
6310470,Gue6310470,162,San Juan City,Filipino,Yes,No,No,No,3,458,1000,4.2
6314605,Sod6314605,162,San Juan City,Korean,No,No,No,No,3,223,700,4.3
18185059,Caf18185059,162,Santa Rosa,"Cafe, American, Italian, Filipino",No,No,No,No,3,29,800,3.6
18182702,Non18182702,162,Santa Rosa,"Italian, Pizza",No,No,No,No,3,72,850,4
6318213,Bal6318213,162,Tagaytay City,Filipino,Yes,No,No,No,3,211,1200,4.5
18255654,Hob18255654,162,Taguig City,"Cafe, Korean, Desserts",No,No,No,No,2,118,600,4.5
6308205,Wil6308205,162,Taguig City,"Cafe, Bakery, American, Italian",Yes,No,No,No,4,392,1500,4.4
6315438,NIU6315438,162,Taguig City,"Seafood, American, Mediterranean, Japanese",Yes,No,No,No,4,535,3000,4.7
6310406,The6310406,162,Taguig City,"American, Asian, Italian, Seafood",Yes,No,No,No,4,618,1800,4.5
6600681,Che6600681,30,Brasi lia,"Fast Food, French",No,No,No,No,2,6,55,3
6601005,Caf6601005,30,Brasi lia,Cafe,No,No,No,No,1,9,30,3.8
6600292,Cas6600292,30,Brasi lia,Bakery,No,No,No,No,2,11,45,3.7
6600441,Mao6600441,30,Brasi lia,Brazilian,No,No,No,No,3,11,60,3.8
6600970,Piz6600970,30,Brasi lia,Pizza,No,No,No,No,2,11,50,3.2
6600379,Sus6600379,30,Brasi lia,Japanese,No,No,No,No,3,10,80,3.1
6600214,Bei6600214,30,Brasi lia,Arabian,No,No,No,No,3,8,90,3.7
6601218,New6601218,30,Brasi lia,Japanese,No,No,No,No,4,5,200,3.7
6600060,San6600060,30,Brasi lia,"Brazilian, Cafe",No,No,No,No,1,2,30,1
6600083,Vil6600083,30,Brasi lia,Italian,No,No,No,No,4,12,150,4.1
6601515,Rov6601515,30,Brasi lia,Pizza,No,No,No,No,4,9,100,3.1
6601361,Bue6601361,30,Brasi lia,"Bar Food, Brazilian",No,No,No,No,3,9,60,3.6
6601602,Tac6601602,30,Brasi lia,"Mexican, Grill",No,No,No,No,4,29,100,4.3
6601589,Coc6601589,30,Brasi lia,International,No,No,No,No,4,17,230,4.2
6601862,Tay6601862,30,Brasi lia,"Peruvian, Latin American",No,No,No,No,4,5,100,3.6
6601595,Out6601595,30,Brasi lia,"American, Grill",No,No,No,No,4,10,150,4
6601158,Man6601158,30,Brasi lia,Seafood,No,No,No,No,4,6,240,3.2
6600427,Coc6600427,30,Brasi lia,International,No,No,No,No,4,30,230,4.9
6600116,Ger6600116,30,Brasi lia,Italian,No,No,No,No,4,8,350,3.3
6601457,Bra6601457,30,Brasi lia,"American, Burger",No,No,No,No,2,9,50,3.6
7303219,Pes7303219,30,Rio de Janeiro,"Seafood, Bar Food, Brazilian",No,No,No,No,4,7,140,4
7304307,Con7304307,30,Rio de Janeiro,"Desserts, Cafe",No,No,No,No,4,29,100,4.8
7301215,Bib7301215,30,Rio de Janeiro,"Juices, Healthy Food",No,No,No,No,3,24,60,4.7
7300596,Cer7300596,30,Rio de Janeiro,"Beverages, Bar Food, Fast Food",No,No,No,No,3,29,90,4.5
7300612,Ami7300612,30,Rio de Janeiro,Lebanese,No,No,No,No,4,11,170,4.2
7300704,TT 7300704,30,Rio de Janeiro,Burger,No,No,No,No,3,19,60,4.8
7300955,Bra7300955,30,Rio de Janeiro,"Brazilian, Bar Food",No,No,No,No,4,40,100,4.9
7300521,Bal7300521,30,Rio de Janeiro,"Brazilian, Healthy Food, Juices, Pizza",No,No,No,No,3,21,90,4.6
7300515,Gar7300515,30,Rio de Janeiro,"Brazilian, Bar Food",No,No,No,No,4,49,120,4.9
7300483,Zaz7300483,30,Rio de Janeiro,Brazilian,No,No,No,No,4,21,170,4.6
7301064,Fil7301064,30,Rio de Janeiro,Brazilian,No,No,No,No,3,14,90,4.3
7304312,D.O7304312,30,Rio de Janeiro,Italian,No,No,No,No,4,5,150,4
7300004,Sus7300004,30,Rio de Janeiro,Japanese,No,No,No,No,4,25,250,4.6
7300868,Tal7300868,30,Rio de Janeiro,"Bakery, Sandwich, Brazilian",No,No,No,No,4,13,120,4.4
7302637,Lem7302637,30,Rio de Janeiro,Brazilian,No,No,No,No,2,7,40,4.2
7302140,Shi7302140,30,Rio de Janeiro,"Brazilian, Seafood",No,No,No,No,4,8,250,4.2
7305048,Qui7305048,30,Rio de Janeiro,"Bar Food, Brazilian",No,No,No,No,3,1,70,1
7302898,Apr7302898,30,Rio de Janeiro,Brazilian,No,No,No,No,4,44,300,4.7
7302859,Aco7302859,30,Rio de Janeiro,"Brazilian, Bar Food",No,No,No,No,3,24,85,4.6
7301700,Gar7301700,30,Rio de Janeiro,"Brazilian, Bar Food",No,No,No,No,3,10,80,4.3
6706313,Can6706313,30,Sao Paulo,"Italian, Pizza",No,No,No,No,4,49,250,4.5
6704326,Tem6704326,30,Sao Paulo,"Steak, BBQ",No,No,No,No,4,17,250,4.4
6711179,Gop6711179,30,Sao Paulo,Indian,No,No,No,No,3,5,70,3.1
6702797,Jiq6702797,30,Sao Paulo,Brazilian,No,No,No,No,4,15,100,4.1
6700475,Sky6700475,30,Sao Paulo,"Beverages, International",No,No,No,No,4,59,300,4.8
6713413,Les6713413,30,Sao Paulo,"French, Brazilian, Beverages",No,No,No,No,4,30,120,4.6
6714340,Red6714340,30,Sao Paulo,"Brazilian, Grill",No,No,No,No,3,5,75,3.9
6710645,Can6710645,30,Sao Paulo,Brazilian,No,No,No,No,2,0,55,1
6700402,Par6700402,30,Sao Paulo,French,No,No,No,No,4,73,200,3.4
6700846,Kaw6700846,30,Sao Paulo,"Sushi, Japanese",No,No,No,No,4,9,120,3.5
6702159,A F6702159,30,Sao Paulo,"BBQ, Grill, Brazilian",No,No,No,No,4,39,300,4.3
6711666,Kin6711666,30,Sao Paulo,Sushi,No,No,No,No,4,12,230,3.9
6701257,Mea6701257,30,Sao Paulo,"Gourmet Fast Food, Burger",No,No,No,No,4,68,120,4.3
6706211,Par6706211,30,Sao Paulo,"Brazilian, Italian",No,No,No,No,4,46,150,4.3
6705858,Ter6705858,30,Sao Paulo,Italian,No,No,No,No,4,37,400,4.4
6701419,Div6701419,30,Sao Paulo,"Brazilian, Mineira",No,No,No,No,3,2,65,1
6703956,Sup6703956,30,Sao Paulo,Brazilian,No,No,No,No,2,2,50,1
6709580,Esq6709580,30,Sao Paulo,"Brazilian, North Eastern",No,No,No,No,4,22,100,4.4
6703176,Vel6703176,30,Sao Paulo,"Brazilian, Bar Food, Beverages",No,No,No,No,3,58,70,4.6
6713772,Sai6713772,30,Sao Paulo,"Lebanese, Arabian",No,No,No,No,4,11,120,4.1
17284404,Aus17284404,216,Albany,"BBQ, Burger, Seafood",No,No,No,No,2,35,25,3.3
17284203,BJ'17284203,216,Albany,"American, BBQ",No,No,No,No,1,25,10,3.3
17284105,Coo17284105,216,Albany,,No,No,No,No,1,34,0,3.4
17284302,El 17284302,216,Albany,Mexican,No,No,No,No,1,45,0,3.4
17284397,Ele17284397,216,Albany,"Coffee and Tea, Sandwich",No,No,No,No,1,26,10,3.4
17284211,Pea17284211,216,Albany,,No,No,No,No,1,36,0,3.4
17284094,Chi17284094,216,Albany,Fast Food,No,No,No,No,1,67,10,3.5
17284409,Gua17284409,216,Albany,"Asian, Chinese, Vegetarian",No,No,No,No,1,141,10,3.9
17284139,Har17284139,216,Albany,"Pizza, Bar Food, Sandwich",No,No,No,No,2,147,25,3.7
17284403,Hen17284403,216,Albany,"Steak, Tapas, Bar Food",No,No,No,No,4,51,70,3.5
17284145,Hon17284145,216,Albany,"Chinese, Seafood, Vegetarian",No,No,No,No,2,88,25,3.6
17284150,Hou17284150,216,Albany,Chinese,No,No,No,No,1,153,10,3.8
17284158,Jim17284158,216,Albany,,No,No,No,No,1,160,10,3.9
17284175,Loc17284175,216,Albany,"American, Burger, Sandwich",No,No,No,No,2,57,25,3.5
17284179,Lon17284179,216,Albany,"American, Steak",No,No,No,No,2,58,25,3.5
17284197,Mik17284197,216,Albany,"Japanese, Steak, Sushi",No,No,No,No,3,115,40,3.6
17284241,Sho17284241,216,Albany,"Japanese, Steak, Sushi",No,No,No,No,3,51,40,3.5
17284390,The17284390,216,Albany,"Seafood, Tapas, Bar Food",No,No,No,No,3,250,40,3.8
17284279,Vil17284279,216,Albany,"Italian, Pizza",No,No,No,No,1,117,10,3.7
17284364,3 S17284364,216,Albany,"American, Breakfast, Diner",No,No,No,No,1,20,10,3.4
16611114,Whi16611114,14,Armidale,"Bar Food, Steak",No,No,No,No,2,25,20,3.5
17293281,Las17293281,216,Athens,"American, Southern, Southwestern",No,No,No,No,3,1821,40,4.5
17293301,Mam17293301,216,Athens,Southern,No,No,No,No,1,849,10,4.5
17293409,Sr.17293409,216,Athens,Mexican,No,No,No,No,1,917,10,4.6
17293163,Cho17293163,216,Athens,"Japanese, Korean",No,No,No,No,1,439,10,3.9
17293228,The17293228,216,Athens,"Breakfast, Burger, Sandwich",No,No,No,No,1,289,10,3.7
17293880,Big17293880,216,Athens,"Breakfast, Sandwich",No,No,No,No,1,558,10,4.3
17293169,Clo17293169,216,Athens,"American, Burger, Sandwich",No,No,No,No,1,613,10,4.2
17293186,DeP17293186,216,Athens,"American, Italian, Pizza",No,No,No,No,2,353,25,4
17293180,DeP17293180,216,Athens,"American, Italian, Pizza",No,No,No,No,2,387,25,4.1
17293205,Fiv17293205,216,Athens,American,No,No,No,No,3,755,40,4.3
17293229,Gri17293229,216,Athens,"International, Southern, Vegetarian",No,No,No,No,1,800,10,4.2
17293897,Ike17293897,216,Athens,Sandwich,No,No,No,No,1,350,10,4.1
17293273,La 17293273,216,Athens,Italian,No,No,No,No,3,464,40,4.1
17293870,Sho17293870,216,Athens,"Asian, Japanese, Sushi",No,No,No,No,2,550,25,4.2
17293877,Taq17293877,216,Athens,"Mexican, Spanish",No,No,No,No,1,543,10,4.1
17293890,The17293890,216,Athens,"International, Southern",No,No,No,No,3,465,40,4.1
17293915,The17293915,216,Athens,Bar Food,No,No,No,No,1,546,10,4.4
17293422,Tra17293422,216,Athens,"Italian, Pizza, Sandwich",No,No,No,No,1,1098,10,4.4
17293873,Tra17293873,216,Athens,"Burger, Bar Food",No,No,No,No,2,579,25,4.2
17294014,Viv17294014,216,Athens,"Desserts, Latin American, Argentine",No,No,No,No,1,374,10,4.1
17294556,Miy17294556,216,Augusta,"Chinese, Steak",No,No,No,No,3,717,40,4.6
17294607,Rae17294607,216,Augusta,"American, Caribbean, Seafood",No,No,No,No,3,548,40,4.9
17294279,The17294279,216,Augusta,"International, Tapas, Vegetarian",No,No,No,No,2,631,25,4.5
17294300,Bol17294300,216,Augusta,"Desserts, Sandwich, Southern",No,No,No,No,1,372,10,3.9
17295215,Far17295215,216,Augusta,"American, Burger",No,No,No,No,2,201,25,3.9
17295028,Man17295028,216,Augusta,"Breakfast, French",No,No,No,No,3,332,40,3.8
17294642,Sco17294642,216,Augusta,BBQ,No,No,No,No,2,304,25,3.5
17295109,Fro17295109,216,Augusta,American,No,No,No,No,3,368,40,4.3
17294441,Giu17294441,216,Augusta,"Desserts, Italian, Pizza",No,No,No,No,2,430,25,4.1
17294552,Mel17294552,216,Augusta,"Italian, Pizza, Sandwich",No,No,No,No,2,433,25,4.4
17294565,Nac17294565,216,Augusta,Mexican,No,No,No,No,1,380,10,4
17294623,Rhi17294623,216,Augusta,"Bar Food, Sandwich, Seafood",No,No,No,No,2,456,25,4
17294712,Tak17294712,216,Augusta,"Mexican, Southwestern, Sushi",No,No,No,No,3,647,40,4.2
17295033,The17295033,216,Augusta,Steak,No,No,No,No,3,360,40,4
17295069,The17295069,216,Augusta,Indian,No,No,No,No,2,227,25,4
17294261,Aug17294261,216,Augusta,German,No,No,No,No,2,290,25,3.9
17295115,Pho17295115,216,Augusta,Vietnamese,No,No,No,No,1,270,10,4.1
17294836,Rhi17294836,216,Augusta,"Burger, Seafood",No,No,No,No,2,326,25,4
17294850,Tha17294850,216,Augusta,Thai,No,No,No,No,3,317,35,4.3
17294883,El 17294883,216,Augusta,Mexican,No,No,No,No,1,300,10,4.2
16608864,Tas16608864,14,Balingup,Modern Australian,No,No,No,No,2,21,20,3.2
16604911,Bri16604911,14,Beechworth,"Pizza, Bar Food",No,No,No,No,2,237,20,4.6
17303465,Bar17303465,216,Boise,"American, Bar Food",No,No,No,No,2,879,25,4.5
17303642,Fla17303642,216,Boise,"Italian, Pizza",No,No,No,No,2,615,25,4.6
17303670,Gol17303670,216,Boise,"Breakfast, Sandwich",No,No,No,No,2,879,25,4.5
17303545,Cha17303545,216,Boise,"American, Seafood, Steak",No,No,No,No,4,379,70,3.9
17303655,Bar17303655,216,Boise,"European, Spanish",No,No,No,No,1,303,10,4.3
17304691,Bar17304691,216,Boise,"Latin American, Steak",No,No,No,No,4,538,70,4.1
17303478,Big17303478,216,Boise,"American, Burger, Sandwich",No,No,No,No,1,334,10,4.2
17303480,Bit17303480,216,Boise,"American, Bar Food",No,No,No,No,2,555,25,4.3
17304733,Boi17304733,216,Boise,"American, Burger",No,No,No,No,1,823,10,4.4
17303646,Fly17303646,216,Boise,Pizza,No,No,No,No,2,550,25,4.1
17304929,For17304929,216,Boise,"American, Burger",No,No,No,No,2,650,25,4.4
17303684,Gui17303684,216,Boise,Pizza,No,No,No,No,1,410,10,4.3
17303772,Los17303772,216,Boise,Mexican,No,No,No,No,1,660,10,4.4
17305123,Luc17305123,216,Boise,"Italian, Seafood, Vegetarian",No,No,No,No,2,360,25,4.4
17303787,Mai17303787,216,Boise,"Sushi, Thai",No,No,No,No,3,340,40,4
17303990,Shi17303990,216,Boise,"Japanese, Sushi, Teriyaki",No,No,No,No,2,393,25,4.1
17304741,The17304741,216,Boise,Breakfast,No,No,No,No,1,422,10,4.3
17304726,Tuc17304726,216,Boise,Brazilian,No,No,No,No,3,435,40,4
17304486,Tex17304486,216,Boise,"American, BBQ, Steak",No,No,No,No,2,369,25,4
17304533,Bri17304533,216,Boise,American,No,No,No,No,3,487,40,4.4
17316233,Win17316233,216,Cedar RapidsorIowa City,"American, Mediterranean, Seafood",No,No,No,No,3,98,40,3.7
17315883,Bia17315883,216,Cedar RapidsorIowa City,"Italian, Pizza",No,No,No,No,3,365,40,4.1
17315995,El 17315995,216,Cedar RapidsorIowa City,Mexican,No,No,No,No,1,190,10,4.1
17316018,Gra17316018,216,Cedar RapidsorIowa City,"American, Breakfast, Burger",No,No,No,No,3,429,40,4.1
17316038,Iri17316038,216,Cedar RapidsorIowa City,"American, BBQ, Burger",No,No,No,No,2,430,25,4.4
17316771,Tas17316771,216,Cedar RapidsorIowa City,Indian,No,No,No,No,2,186,25,4.2
17316201,Tha17316201,216,Cedar RapidsorIowa City,"Chinese, Sushi, Thai",No,No,No,No,1,220,10,4.2
17316208,Tin17316208,216,Cedar RapidsorIowa City,Chinese,No,No,No,No,1,347,10,4.2
17316389,Mon17316389,216,Cedar RapidsorIowa City,"American, Italian, Pizza",No,No,No,No,2,161,25,3.8
17316278,Exo17316278,216,Cedar RapidsorIowa City,Indian,No,No,No,No,2,160,25,4.1
17316744,Sho17316744,216,Cedar RapidsorIowa City,Burger,No,No,No,No,1,820,10,4.9
17316751,The17316751,216,Cedar RapidsorIowa City,"American, Breakfast, Burger",No,No,No,No,1,488,10,4.5
17316766,Blu17316766,216,Cedar RapidsorIowa City,"Breakfast, Diner",No,No,No,No,2,253,25,3.6
17316743,Gra17316743,216,Cedar RapidsorIowa City,"American, International, Sushi",No,No,No,No,3,220,40,3.8
17316374,A &17316374,216,Cedar RapidsorIowa City,Pizza,No,No,No,No,2,485,25,4.3
17316381,Atl17316381,216,Cedar RapidsorIowa City,International,No,No,No,No,3,428,40,4.3
